Company: Barclays PLC (BARC), Announcement: Total Voting Rights, Movement: +2.92%
Company: British Land Co PLC (BLND), Announcement: Total Voting Rights, Movement: -1.22%
Company: British Land Co PLC (BLND), Announcement: Convertible Bond Exchange Price Adjustment, Movement: -1.22%
Company: Caspian Sunrise plc (CASP), Announcement: Price Monitoring Extension, Movement: 10.75
Company: Caspian Sunrise plc (CASP), Announcement: Second Price Monitoring Extn, Movement: 10.75
Company: Caspian Sunrise plc (CASP), Announcement: Price Monitoring Extension, Movement: 10.75
Company: Caspian Sunrise plc (CASP), Announcement: Second Price Monitoring Extn, Movement: 10.75
Company: Caspian Sunrise plc (CASP), Announcement: Price Monitoring Extension, Movement: 10.75
Company: Caspian Sunrise plc (CASP), Announcement: BNG Success at Deep Well A5, Movement: 10.75
Company: Eve Sleep plc (EVE), Announcement: Holding in Company, Movement: +35.14%
Company: Eve Sleep plc (EVE), Announcement: Holding in Company, Movement: +35.14%
Company: Hochschild MiningPLC (HOC), Announcement: Director/PDMR Shareholding, Movement: -2.51%
Company: Hochschild MiningPLC (HOC), Announcement: Total Voting Rights, Movement: -2.51%
Company: IP Group PLC (IPO), Announcement: Oxford Nanopore completes £109.5m financing, Movement: +5.21%
Company: Lekoil Limited (LEK), Announcement: Second Price Monitoring Extn, Movement: +59.14%
Company: Lekoil Limited (LEK), Announcement: Price Monitoring Extension, Movement: +59.14%
Company: Lekoil Limited (LEK), Announcement: OPL 310 Appraisal Funding Secured, Movement: +59.14%
Company: Meggitt PLC (MGGT), Announcement: Total Voting Rights, Movement: -0.69%
Company: NextEnergy SolFnd Ld (NESF), Announcement: Director/PDMR Shareholding, Movement: -0.88%
Company: NextEnergy SolFnd Ld (NESF), Announcement: Total Voting Rights, Movement: -0.88%
Company: Ocado Group PLC (OCDO), Announcement: Total Voting Rights, Movement: -0.76%
Company: Richland Resources (RLD), Announcement: Completion of Disposal of Capricorn Sapphire, Movement: -17.24%
Company: Smiths Group PLC (SMIN), Announcement: Total Voting Rights, Movement: +2.36%
Company: Tasty PLC (TAST), Announcement: Property Disposal and Trading Update, Movement: +41.03%
Company: TUI AG, Announcement: Announcement  of the Convening of the General Meeting in Hannover on 11.02.2020 according to article 121 AktG (German Stock Companies Act) with the objective of Europe-wide distribution, Movement: +3.07%
Company: Tullow Oil PLC (TLW), Announcement: Total Voting Rights, Movement: -9.00%
Company: Tullow Oil PLC (TLW), Announcement: Carapa-1 well result, Movement: -9.00%



Company: 3i Group PLC (III), Announcement: Directorate Change, Movement: N/A
Company: 888 Holdings plc (888), Announcement: Total Voting Rights, Movement: N/A
Company: AA PLC (AA.), Announcement: Total Voting Rights, Movement: N/A
Company: AB Financial Product (IRSH), Announcement: Notice of Automatic Early Redemption, Movement: N/A
Company: ABCAM PLC (ABC), Announcement: Total Voting Rights, Movement: N/A
Company: ABCAM PLC (ABC), Announcement: Transaction complete between Abcam and Expedeon, Movement: N/A
Company: Aberdeen Asian IncFd (AAIF), Announcement: Total Voting Rights, Movement: N/A
Company: Aberdeen Diversified (ADIG), Announcement: Total Voting Rights, Movement: N/A
Company: Aberdeen Diversified (ADIG), Announcement: Transaction in Own Shares, Movement: N/A
Company: Aberdeen Japan IT (AJIT), Announcement: Total Voting Rights, Movement: N/A
Company: Aberdeen Latin (ALAI), Announcement: Total Voting Rights, Movement: N/A
Company: Aberdeen New Dawn IT (ABD), Announcement: Total Voting Rights, Movement: N/A
Company: Aberdeen New India (ANII), Announcement: Block listing Interim Review, Movement: N/A
